pseudo_date,n_treated_pre,n_treated_post,two_sided_treated_support
2023-03-08,161,77,1
2023-03-09,162,76,1
2023-03-10,163,75,1
2023-03-13,163,75,1
2023-03-14,163,75,1
2023-03-15,164,74,1
2023-03-16,164,74,1
2023-03-17,165,73,1
2023-03-20,165,73,1
2023-03-21,165,73,1
2023-03-22,165,73,1
2023-03-23,165,73,1
2023-03-24,166,72,1
2023-03-27,166,72,1
2023-03-28,166,72,1
2023-03-29,166,72,1
2023-03-30,166,72,1
2023-03-31,167,71,1
2023-04-03,167,71,1
2023-04-04,167,71,1
2023-04-05,167,71,1
2023-04-06,167,71,1
2023-04-07,168,70,1
2023-04-10,168,70,1
2023-04-11,168,70,1
2023-04-12,168,70,1
2023-04-13,169,69,1
2023-04-14,169,69,1
2023-04-17,170,68,1
2023-04-18,170,68,1
2023-04-19,170,68,1
2023-04-20,170,68,1
2023-04-21,170,68,1
2023-04-24,170,68,1
2023-04-25,171,67,1
2023-04-26,171,67,1
2023-04-27,171,67,1
2023-04-28,171,67,1
2023-05-01,171,67,1
2023-05-02,171,67,1
2023-05-03,172,66,1
2023-05-04,172,66,1
2023-05-05,172,66,1
2023-05-08,173,65,1
2023-05-09,174,64,1
2023-05-10,175,63,1
2023-05-11,176,62,1
2023-05-12,177,61,1
2023-05-15,177,61,1
2023-05-16,177,61,1
2023-05-17,178,60,1
2023-05-18,178,60,1
2023-05-19,179,59,1
2023-05-22,180,58,1
2023-05-23,181,57,1
2023-05-24,181,57,1
2023-05-25,183,55,1
2023-05-26,185,53,1
2023-05-30,189,49,1
2023-05-31,189,49,1
2023-06-01,189,49,1
2023-06-02,190,48,1
2023-06-05,191,47,1
2023-06-06,191,47,1
2023-06-07,192,46,1
2023-06-08,192,46,1
2023-06-09,192,46,1
2023-06-12,193,45,1
2023-06-13,194,44,1
2023-06-14,194,44,1
2023-06-15,194,44,1
2023-06-16,195,43,1
2023-06-20,197,41,1
2023-06-21,197,41,1
2023-06-22,199,39,1
2023-06-23,199,39,1
2023-06-26,199,39,1
2023-06-27,200,38,1
2023-06-28,200,38,1
2023-06-29,200,38,1
2023-06-30,200,38,1
2023-07-03,200,38,1
2023-07-05,200,38,1
2023-07-06,200,38,1
2023-07-07,200,38,1
