form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-08,edgar/data/1822691/0001980073-23-000003.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001980073-23-000003,2023-06-08,0001822691,0001980073,2023-05-29,0.02,False,8.0,10.0
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-14,edgar/data/1822691/0001193125-23-166204.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-166204,2023-06-14,0001822691,0001981286,,,False,,
SC 13D,"GreenLight Biosciences Holdings, PBC",1822691,2023-06-22,edgar/data/1822691/0000950170-23-029276.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-029276,2023-06-22,0001822691,0001981573,2023-05-29,0.0,False,18.0,24.0
SC 13D,"HHEP-Directional, L.P.",1662112,2023-06-30,edgar/data/1662112/0001193125-23-180524.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-180524,2023-06-30,0001884516,0001662112,,53.5,False,,
SC 13D,Iwuchukwu Ifeyinwa Jane,1980454,2023-06-08,edgar/data/1980454/0000950170-23-026957.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950170-23-026957,2023-06-08,0001822691,0001980454,2023-05-29,0.01,False,8.0,10.0
SC 13D,KKR FS Income Trust,1930679,2023-05-31,edgar/data/1930679/0001193125-23-157906.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-157906,2023-05-31,0001930679,0001697432,,28.6,False,,
SC 13D,Kensington Capital Sponsor V LLC,1876530,2023-04-18,edgar/data/1876530/0001140361-23-018752.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-018752,2023-04-18,0001865407,0001876530,2023-04-06,2.59,False,8.0,12.0
SC 13D,Kovalik Edward,1606277,2023-05-15,edgar/data/1606277/0001493152-23-017534.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-017534,2023-05-15,0001162896,0001606277,2023-05-03,39.12,False,8.0,12.0
SC 13D,LEDECKY JONATHAN J,1008382,2023-05-17,edgar/data/1008382/0001213900-23-040864.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-040864,2023-05-17,0001835817,0001008382,2023-03-03,70.8,False,53.0,75.0
SC 13D,Liu Kelvin Chak Kwan,1909144,2023-05-19,edgar/data/1909144/0001731122-23-000981.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001731122-23-000981,2023-05-19,0001865191,0001909144,2023-05-19,18.41,False,0.0,0.0
SC 13D,"MADRIGAL PHARMACEUTICALS, INC.",1157601,2023-06-20,edgar/data/1157601/0001104659-23-072412.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-072412,2023-06-20,0001157601,0001263508,2023-06-15,8.4,False,3.0,5.0
SC 13D,"MEI Pharma, Inc.",1262104,2023-05-30,edgar/data/1262104/0000921895-23-001387.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-001387,2023-05-30,0001262104,0001491072,2023-05-19,4.9,False,7.0,11.0
SC 13D,MFS HIGH YIELD MUNICIPAL TRUST,809844,2023-04-10,edgar/data/809844/0001062993-23-008960.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-008960,2023-04-10,0000809844,0001510281,2023-04-05,10.12,False,3.0,5.0
SC 13D,Magic Empire Global Ltd,1881472,2023-05-22,edgar/data/1881472/0001493152-23-018500.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-018500,2023-05-22,0001881472,0001934204,,36.3,False,,
SC 13D,Maynard Jason Edward,1850296,2023-06-13,edgar/data/1850296/0001193125-23-166062.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-166062,2023-06-13,0001179821,0001850296,,24.9,False,,
SC 13D,Milner Jonathan,1968953,2023-05-01,edgar/data/1968953/0001104659-23-053472.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-053472,2023-05-01,0001492074,0001968953,2023-05-01,6.4,False,0.0,0.0
SC 13D,NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,1087786,2023-04-10,edgar/data/1087786/0001062993-23-008962.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-008962,2023-04-10,0001087786,0001510281,2023-04-05,5.12,False,3.0,5.0
SC 13D,"National Western Life Group, Inc.",1635984,2023-04-24,edgar/data/1635984/0000921895-23-000932.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-000932,2023-04-24,0001635984,0000024046,2023-04-24,1.0,False,0.0,0.0
SC 13D,ONTARIO TEACHERS PENSION PLAN BOARD,937567,2023-06-09,edgar/data/937567/0001839882-23-015225.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001839882-23-015225,2023-06-09,0000797721,0000937567,2023-05-30,9.2,False,8.0,10.0
SC 13D,ObsEva SA,1685316,2023-04-17,edgar/data/1685316/0001193125-23-103795.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-103795,2023-04-17,0001685316,0001731550,,9.37,False,,
SC 13D,"PANACEA LIFE SCIENCES HOLDINGS, INC.",1552189,2023-06-23,edgar/data/1552189/0001493152-23-022285.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-022285,2023-06-23,0001552189,0001866792,,47.0,False,,
SC 13D,"PIERIS PHARMACEUTICALS, INC.",1583648,2023-05-22,edgar/data/1583648/0000921895-23-001309.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-001309,2023-05-22,0001583648,0000918923,2023-05-11,11.8,False,7.0,11.0
SC 13D,Pani Corp.,1974347,2023-04-27,edgar/data/1974347/0000950157-23-000399.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950157-23-000399,2023-04-27,0001941131,0001974347,2023-04-17,2.59,False,8.0,10.0
SC 13D,Performance Shipping Inc.,1481241,2023-04-21,edgar/data/1481241/0001140361-23-019622.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-019622,2023-04-21,0001481241,0001823731,2023-02-17,2.59,False,45.0,63.0
SC 13D,"Provident Bancorp, Inc. /MD/",1778784,2023-05-15,edgar/data/1778784/0001104659-23-060964.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-060964,2023-05-15,0001778784,0001113303,2023-05-05,,False,6.0,10.0
SC 13D,"REGO PAYMENT ARCHITECTURES, INC.",1437283,2023-05-26,edgar/data/1437283/0001104659-23-065518.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-065518,2023-05-26,0001437283,0000897610,,,False,,
SC 13D,Radoff Bradley Louis,1380585,2023-05-15,edgar/data/1380585/0000921895-23-001213.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000921895-23-001213,2023-05-15,0000849146,0001380585,2023-05-05,1.0,False,6.0,10.0
SC 13D,"RingCentral, Inc.",1384905,2023-05-26,edgar/data/1384905/0001085146-23-002488.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001085146-23-002488,2023-05-26,0001384905,0001627436,2023-05-25,8.68,False,1.0,1.0
SC 13D,"Rubicon Technologies, Inc.",1862068,2023-06-26,edgar/data/1862068/0001387131-23-007872.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001387131-23-007872,2023-06-26,0001862068,0001878117,,21.8,False,,
SC 13D,"SHF Holdings, Inc.",1854963,2023-04-10,edgar/data/1854963/0001493152-23-011602.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-011602,2023-04-10,0001854963,0001949751,2023-03-29,54.93,False,8.0,12.0
SC 13D,STEINMAN LAWRENCE,1132679,2023-06-08,edgar/data/1132679/0001213900-23-047253.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-047253,2023-06-08,0001841330,0001132679,2023-06-02,6.0,False,4.0,6.0
SC 13D,"Saba Capital Management, L.P.",1510281,2023-06-09,edgar/data/1510281/0001062993-23-013274.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-013274,2023-06-09,0001556336,0001510281,2023-06-07,5.07,False,2.0,2.0
SC 13D,Safehold Inc.,1095651,2023-04-11,edgar/data/1095651/0001341004-23-000109.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001341004-23-000109,2023-04-11,0001095651,0000936828,2023-03-31,6.6,False,7.0,11.0
SC 13D,Sagar Rosemary,1980020,2023-06-08,edgar/data/1980020/0000897069-23-000705.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000897069-23-000705,2023-06-08,0001822691,0001980020,2023-05-29,2.59,False,8.0,10.0
SC 13D,Sageworth Trust Co,1482688,2023-06-26,edgar/data/1482688/0001482688-23-000006.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001482688-23-000006,2023-06-26,0001482688,0001482688,,,False,,
SC 13D,Skizim Nicholas John,1980073,2023-06-08,edgar/data/1980073/0001980073-23-000003.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001980073-23-000003,2023-06-08,0001822691,0001980073,2023-05-29,0.02,False,8.0,10.0
SC 13D,Stagwell Inc,876883,2023-05-10,edgar/data/876883/0001193125-23-140847.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-140847,2023-05-10,0000876883,0001512910,,9.9,False,,
SC 13D,Stark Juergen M.,1595670,2023-05-08,edgar/data/1595670/0000894579-23-000159.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000894579-23-000159,2023-05-08,0001493761,0001595670,2023-05-01,2.59,False,5.0,7.0
SC 13D,Stauss Kurt,1974677,2023-04-27,edgar/data/1974677/0001493152-23-013872.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-013872,2023-04-27,0001901297,0001974677,,17.83,False,,
SC 13D,Steinberg Michael,1980578,2023-06-08,edgar/data/1980578/0000897069-23-000703.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000897069-23-000703,2023-06-08,0001822691,0001980578,2023-05-29,2.59,False,8.0,10.0
SC 13D,TRITON LUXTOPHOLDING SARL,1980512,2023-06-09,edgar/data/1980512/0001193125-23-164541.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-164541,2023-06-09,0000797721,0001980512,,,False,,
SC 13D,"TSMS, LLC",1975702,2023-06-14,edgar/data/1975702/0001091818-23-000113.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001091818-23-000113,2023-06-14,0001444839,0001975702,2023-04-11,,False,46.0,64.0
SC 13D,Versi Group LLC,1979074,2023-06-05,edgar/data/1979074/0001839882-23-014903.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001839882-23-014903,2023-06-05,0000887247,0001979074,2023-05-25,,False,7.0,11.0
SC 13D,"Vivo Opportunity Fund Holdings, L.P.",1930214,2023-06-01,edgar/data/1930214/0001213900-23-045092.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-045092,2023-06-01,0001484565,0001930214,,50.8,False,,
SC 13D,WHITE MOUNTAINS INSURANCE GROUP LTD,776867,2023-06-30,edgar/data/776867/0000950157-23-000723.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950157-23-000723,2023-06-30,0001818383,0000776867,2023-06-30,2.59,False,0.0,0.0
SC 13D,"Willdan Group, Inc.",1370450,2023-06-06,edgar/data/1370450/0001654954-23-007663.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001654954-23-007663,2023-06-06,0001370450,0001539281,2023-06-06,11.3,False,0.0,0.0
SC 13D,William Anderson Wittekind,1753085,2023-05-19,edgar/data/1753085/0001214659-23-007572.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001214659-23-007572,2023-05-19,0001527728,0001753085,,48.5,False,,
SC 13D,"AG Mortgage Investment Trust, Inc.",1514281,2023-07-25,edgar/data/1514281/0001104659-23-083895.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-083895,2023-07-25,0001514281,0001674356,,5.2,False,,
SC 13D,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,1162027,2023-09-21,edgar/data/1162027/0001062993-23-018366.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001062993-23-018366,2023-09-21,0001162027,0001510281,2023-09-19,5.8,False,2.0,2.0
SC 13D,"AVID TECHNOLOGY, INC.",896841,2023-08-18,edgar/data/896841/0001193125-23-215944.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-215944,2023-08-18,0000896841,0001941857,,16.3,False,,
SC 13D,Able View Global Inc.,1957489,2023-08-28,edgar/data/1957489/0001213900-23-071269.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-071269,2023-08-28,0001957489,0001990805,2023-08-17,58.7,False,7.0,11.0
SC 13D,"American Outdoor Brands, Inc.",1808997,2023-08-30,edgar/data/1808997/0001193805-23-001235.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193805-23-001235,2023-08-30,0001808997,0001580320,2023-08-11,4.3,False,13.0,19.0
