form,company,cik,date_filed,edgar_path,window,accession,filed,subject_cik,filer_cik,event,pct_of_class,has_xml,delay_bdays,delay_cdays
SC 13D,"Azenta, Inc.",933974,2023-09-14,edgar/data/933974/0001104659-23-100860.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-100860,2023-09-14,0000933974,0001885245,2023-09-08,6.87,False,4.0,6.0
SC 13D,Barnhart Timothy W,1985365,2023-08-31,edgar/data/1985365/0001104659-23-097279.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-097279,2023-08-31,0001426506,0001985365,2023-07-07,17.4,False,39.0,55.0
SC 13D,Bent Bruce,1746671,2023-08-30,edgar/data/1746671/0001756125-23-001385.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001756125-23-001385,2023-08-30,0001331421,0001746671,2023-07-12,9.0,False,35.0,49.0
SC 13D,"BioXcel Therapeutics, Inc.",1720893,2023-09-28,edgar/data/1720893/0001104659-23-104803.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-104803,2023-09-28,0001720893,0001651990,,,False,,
SC 13D,Boos Wayne W,1987877,2023-09-18,edgar/data/1987877/0001987877-23-000002.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001987877-23-000002,2023-09-18,0001348362,0001987877,2023-09-01,5.56129,False,11.0,17.0
SC 13D,CAMPBELL SOUP CO,16732,2023-08-08,edgar/data/16732/0000950103-23-011730.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950103-23-011730,2023-08-08,0001856608,0000016732,2023-08-08,34.0,False,0.0,0.0
SC 13D,CK Wheels LLC,1994757,2023-09-26,edgar/data/1994757/0000950103-23-014029.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000950103-23-014029,2023-09-26,0001819516,0001994757,2023-09-20,36.3,False,4.0,6.0
SC 13D,"Chicago Atlantic Credit Opportunities, LLC",1862016,2023-07-14,edgar/data/1862016/0001213900-23-056973.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-056973,2023-07-14,0001771706,0001862016,2023-04-28,44.7,False,55.0,77.0
SC 13D,Chindata Group Holdings Ltd,1807192,2023-08-21,edgar/data/1807192/0001193125-23-217054.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-217054,2023-08-21,0001807192,0001434819,,15.9,False,,
SC 13D,DIGIANDOMENICO ANTHONY,1083544,2023-08-01,edgar/data/1083544/0001493152-23-026305.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-026305,2023-08-01,0001934642,0001083544,2021-07-25,22.6,False,526.0,737.0
SC 13D,Danaos Corp,1369241,2023-07-06,edgar/data/1369241/0001104659-23-078775.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-078775,2023-07-06,0001322439,0001369241,2023-06-26,16.7,False,8.0,10.0
SC 13D,Dune Acquisition Corp,1817232,2023-08-25,edgar/data/1817232/0001213900-23-070958.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-070958,2023-08-25,0001817232,0001937147,2023-08-16,8.3,False,7.0,9.0
SC 13D,"ENGINE CAPITAL, L.P.",1580320,2023-08-30,edgar/data/1580320/0001193805-23-001235.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193805-23-001235,2023-08-30,0001808997,0001580320,2023-08-11,4.3,False,13.0,19.0
SC 13D,Edward L. Chase Revocable Trust,1389404,2023-08-02,edgar/data/1389404/0001389404-23-000004.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001389404-23-000004,2023-08-02,0000830524,0001389404,2023-07-21,8.1,False,8.0,12.0
SC 13D,"Franchise Group, Inc.",1528930,2023-08-08,edgar/data/1528930/0001104659-23-088656.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-088656,2023-08-08,0001528930,0001652992,2023-08-07,0.12,False,1.0,1.0
SC 13D,"Franchise Group, Inc.",1528930,2023-08-08,edgar/data/1528930/0001140361-23-038604.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001140361-23-038604,2023-08-08,0001528930,0001988825,2023-08-06,2.59,False,1.0,2.0
SC 13D,"Franchise Group, Inc.",1528930,2023-08-11,edgar/data/1528930/0001193125-23-210864.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-210864,2023-08-11,0001528930,0001724410,,0.52,False,,
SC 13D,Frankenius Equity AB,1988262,2023-08-21,edgar/data/1988262/0001193125-23-216997.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-216997,2023-08-21,0001826667,0001988262,,24.1,False,,
SC 13D,"GEN Restaurant Group, Inc.",1891856,2023-07-10,edgar/data/1891856/0001193125-23-184683.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001193125-23-184683,2023-07-10,0001891856,0001982566,,71.0,False,,
SC 13D,"Hanryu Holdings, Inc.",1911545,2023-09-05,edgar/data/1911545/0001991499-23-000002.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001991499-23-000002,2023-09-05,0001911545,0001991499,2023-08-03,20.4,False,23.0,33.0
SC 13D,Hao Chun Yi,1355497,2023-09-08,edgar/data/1355497/0001929980-23-000189.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001929980-23-000189,2023-09-08,0001852736,0001355497,2023-07-18,17.8,False,38.0,52.0
SC 13D,Haymaker Acquisition Corp. 4,1970509,2023-08-07,edgar/data/1970509/0001104659-23-088406.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001104659-23-088406,2023-08-07,0001970509,0001986992,,,False,,
SC 13D,Healthy Great Investing Co Ltd,1990805,2023-08-28,edgar/data/1990805/0001213900-23-071269.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001213900-23-071269,2023-08-28,0001957489,0001990805,2023-08-17,58.7,False,7.0,11.0
SC 13D,"HeartBeam, Inc.",1779372,2023-08-28,edgar/data/1779372/0001493152-23-030364.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001493152-23-030364,2023-08-28,0001779372,0001032188,2023-08-20,9.41,False,5.0,8.0
SC 13D,IMPERIAL PETROLEUM INC,355356,2023-08-30,edgar/data/355356/0001731122-23-001628.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001731122-23-001628,2023-08-30,0000355356,0001991451,2023-08-30,2.33,False,0.0,0.0
SC 13D,INGALLS & SNYDER LLC,1041885,2023-07-07,edgar/data/1041885/0001041885-23-000015.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0001041885-23-000015,2023-07-07,0001715925,0001041885,2023-06-29,4.22,False,6.0,8.0
SC 13D,INTEVAC INC,1001902,2023-08-18,edgar/data/1001902/0000807249-23-000104.txt,"pre (2023Q2-Q3, 10-calendar-day rule)",0000807249-23-000104,2023-08-18,0001001902,0000807249,2023-08-11,1.1,False,5.0,7.0
