cik,name,event_date,form,accession,route,confirm_detail
0001404912,KKR & Co. Inc.,2021-02-02,8-K,0001140361-21-003114,A,8k-text:merger:3;via-primary
0001419951,Data Storage Corp,2021-02-16,8-K,0001731122-21-000256,A,8k-text:merger:3;via-primary
0001419951,Data Storage Corp,2021-06-03,8-K,0001731122-21-000993,A,8k-text:merger:3;target:1;acquirer:1;nonmerger:1;via-primary
0001420720,"iBio, Inc.",2022-05-12,8-K,0001420720-22-000018,A,8k-text:merger:1;via-primary
0001425205,"IOVANCE BIOTHERAPEUTICS, INC.",2023-01-23,8-K,0001104659-23-005596,A,8k-text:merger:1;via-primary
0001425627,"SOBR Safe, Inc.",2026-04-30,8-K,0001477932-26-002681,A,8k-text:merger:3;via-primary
0001437352,"EVERBRIDGE, INC.",2024-03-01,8-K,0001193125-24-054346,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001443669,Proto Labs Inc,2021-01-19,8-K,0001437749-21-000799,A,8k-text:merger:3;via-primary
0001446159,Axe Compute Inc.,2025-01-06,8-K,0001171843-25-000051,A,8k-text:merger:1;via-primary
0001446159,Axe Compute Inc.,2025-03-05,8-K,0001171843-25-001284,A,8k-text:merger:1;via-primary
0001446847,IRONWOOD PHARMACEUTICALS INC,2023-05-22,SC TO-C,0001104659-23-063165,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001446847,IRONWOOD PHARMACEUTICALS INC,2023-05-22,SC TO-C,0001104659-23-063212,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001446847,IRONWOOD PHARMACEUTICALS INC,2023-05-23,SC TO-C,0001104659-23-063694,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001446847,IRONWOOD PHARMACEUTICALS INC,2023-05-31,SC TO-T,0001104659-23-066312,A+B,form-type|fts-cik-verified|subject-cik-mismatch|bidder-disagrees-header
0001506983,"Glucotrack, Inc.",2026-07-15,8-K,0001493152-26-033393,A,8k-text:merger:3;target:2;acquirer:1;defence:1;nonmerger:1;via-primary
0001521036,"Lantheus Holdings, Inc.",2026-08-04,8-K,0001193125-26-331138,A,8k-text:merger:3;target:3;acquirer:1;defence:1;via-primary
0001524472,Xylem Inc.,2023-05-24,8-K,0001193125-23-152550,A,8k-text:merger:3;via-primary
0001533998,DarioHealth Corp.,2021-06-08,8-K,0001104659-21-078234,A,8k-text:merger:2;via-primary
0001534120,"Avalo Therapeutics, Inc.",2026-04-28,8-K,0001534120-26-000026,A,8k-text:merger:3;via-primary
0001537917,"TYME TECHNOLOGIES, INC.",2022-07-05,8-K,0001193125-22-187526,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001537917,"TYME TECHNOLOGIES, INC.",2022-09-16,8-K,0001193125-22-246379,A,8k-text:merger:3;target:2;acquirer:1;via-primary
0001549346,"Shutterstock, Inc.",2025-01-07,8-K,0001140361-25-000468,A,8k-text:merger:3;target:2;acquirer:1;defence:1;nonmerger:1;via-primary
0001560241,"G1 Therapeutics, Inc.",2024-08-07,8-K,0001193125-24-195484,A,8k-text:merger:5;target:1;acquirer:1;nonmerger:1;via-primary
0001560241,"G1 Therapeutics, Inc.",2024-09-18,8-K,0001193125-24-221120,A,8k-text:merger:4;target:3;acquirer:2;nonmerger:1;via-primary
0001562528,"Franklin BSP Realty Trust, Inc.",2021-07-26,8-K,0001104659-21-095615,A,8k-text:merger:3;via-primary
0001562528,"Franklin BSP Realty Trust, Inc.",2021-09-23,8-K,0001104659-21-118429,A,8k-text:merger:3;via-primary
0001562528,"Franklin BSP Realty Trust, Inc.",2021-10-21,8-K,0001104659-21-128156,A,8k-text:merger:3;via-primary
0001571498,"Epizyme, Inc.",2022-06-27,8-K,0001193125-22-182030,A,8k-text:merger:4;target:3;acquirer:1;defence:1;via-primary
