permno,cik,td,treated_permno,treated_accession,match_group,extraction_status,window_coverage,bid12,first_bid_date,first_bid_form,first_bid_route,first_bid_accession,n_bid_events,filer_own_bid,ambiguous,n_ambiguous_events,excluded_prior_bid,prior_bid_any,prior_bid_last_date
47730,0000771497,2024-10-14,19565,0000902664-24-005919,0000902664-24-005919,ok,full,0.0,,,,,0,0,0,0,0,0,
10257,0000785557,2022-07-19,21737,0001140361-22-027287,0001140361-22-027287,ok,full,0.0,,,,,0,0,0,0,0,0,
10257,0000785557,2023-04-14,87227,0000921895-23-000931,0000921895-23-000931,ok,full,0.0,,,,,0,0,0,0,0,0,
10257,0000785557,2024-08-19,20336,0001214659-24-014893,0001214659-24-014893,ok,full,0.0,,,,,0,0,0,0,0,0,
11654,0000787253,2022-02-02,90783,0001193125-22-042152,0001193125-22-042152,ok,full,0.0,,,,,0,0,0,0,0,0,
10550,0000788920,2024-03-25,89891,0001140361-24-016912,0001140361-24-016912,ok,full,0.0,,,,,0,0,0,0,0,0,
19231,0000803164,2024-02-28,89573,0001493152-24-008886,0001493152-24-008886,ok,full,1.0,2024-07-25,8-K,A,0001140361-24-034098,1,0,0,0,0,0,
10966,0000805928,2022-07-11,20581,0001214659-22-009064,0001214659-22-009064,ok,full,0.0,,,,,0,0,0,0,0,0,
10966,0000805928,2024-03-05,22220,0001193805-24-000342,0001193805-24-000342,ok,full,0.0,,,,,0,0,0,0,0,0,
11803,0000807863,2022-11-14,24459,0001193805-22-001587,0001193805-22-001587,ok,full,0.0,,,,,0,0,0,0,0,0,
11394,0000811212,2023-08-07,14934,0001213900-23-068201,0001213900-23-068201,ok,full,0.0,,,,,0,0,0,0,0,0,
91403,0000811596,2024-02-29,79198,0001140361-24-011951,0001140361-24-011951,ok,full,0.0,,,,,0,0,0,0,0,0,
11481,0000814549,2022-04-11,21353,0001193125-22-113123,0001193125-22-113123,ok,full,0.0,,,,,0,0,0,0,0,0,
11481,0000814549,2022-12-13,20465,0000921895-22-003251,0000921895-22-003251,ok,full,0.0,,,,,0,0,0,0,0,0,
11547,0000816956,2022-01-06,77447,0000950127-22-000003,0000950127-22-000003,ok,full,0.0,,,,,0,0,0,0,0,0,
90880,0000820027,2024-11-01,12591,0000950142-24-002712,0000950142-24-002712,ok,full,0.0,,,,,0,0,0,0,0,0,
75905,0000821002,2022-03-22,83822,0001173879-22-000002,0001173879-22-000002,ok,full,0.0,,,,,0,0,0,0,0,0,
14773,0000821483,2022-04-14,17073,0000899140-22-000470,0000899140-22-000470,ok,full,0.0,,,,,0,0,0,0,0,0,
77300,0000825542,2023-03-09,88159,0000902664-23-002313,0000902664-23-002313,ok,full,0.0,,,,,0,0,0,0,0,0,
79280,0000828146,2024-05-28,86290,0001104659-24-066057,0001104659-24-066057,ok,full,0.0,,,,,0,0,0,0,0,0,
90608,0000829323,2024-12-04,79903,0000921895-24-002895,0000921895-24-002895,ok,full,0.0,,,,,0,0,0,0,0,0,
19832,0000832489,2024-05-23,14419,0001683168-24-003883,0001683168-24-003883,ok,full,0.0,,,,,0,0,0,0,0,0,
18418,0000846475,2023-08-09,79150,0000902664-23-004496,0000902664-23-004496,ok,full,0.0,,,,,0,0,0,0,0,0,
79586,0000846913,2022-04-27,14636,0000921895-22-001517,0000921895-22-001517,ok,full,0.0,,,,,0,0,0,0,0,0,
78988,0000849145,2023-03-03,26084,0001815572-23-000003,0001815572-23-000003,ok,full,0.0,,,,,0,0,0,0,0,0,
78988,0000849145,2024-04-18,22610,0000902664-24-003017,0000902664-24-003017,ok,full,0.0,,,,,0,0,0,0,0,0,
76261,0000851520,2022-06-21,93369,0001193125-22-187216,0001193125-22-187216,ok,full,0.0,,,,,0,0,0,0,0,0,
75860,0000855654,2022-05-18,19356,0000902664-22-003160,0000902664-22-003160,ok,full,0.0,,,,,0,0,0,0,0,0,
82621,0000855683,2022-06-07,19082,0001493152-22-016439,0001493152-22-016439,ok,full,0.0,,,,,0,0,0,0,0,0,
82824,0000861838,2023-01-25,20297,0001513162-23-000013,0001513162-23-000013,ok,full,0.0,,,,,0,0,0,0,0,0,
76661,0000874015,2023-03-09,88159,0000902664-23-002313,0000902664-23-002313,ok,full,0.0,,,,,0,0,0,0,0,0,
76752,0000876167,2022-02-22,88174,0001193805-22-000401,0001193805-22-000401,ok,full,0.0,,,,,0,0,0,0,0,0,
76908,0000876378,2022-09-27,85013,0001214659-22-011815,0001214659-22-011815,ok,full,0.0,,,,,0,0,0,0,0,0,
76798,0000876523,2022-07-21,90371,0001058854-22-000033,0001058854-22-000033,ok,full,0.0,,,,,0,0,0,0,0,0,
76795,0000877212,2024-11-06,87034,0001139032-25-000002,0001139032-25-000002,ok,full,0.0,,,,,0,0,0,0,0,0,
77165,0000880117,2024-04-30,20654,0000014693-24-000036,0000014693-24-000036,ok,full,0.0,,,,,0,0,0,0,0,0,
77175,0000880807,2022-05-12,20670,0000902664-22-003109,0000902664-22-003109,ok,full,0.0,,,,,0,0,0,0,0,0,
77175,0000880807,2024-12-13,16710,0000950170-24-139216,0000950170-24-139216,ok,full,0.0,,,,,0,0,0,0,0,0,
15491,0000882291,2022-07-26,15374,0001214659-22-009648,0001214659-22-009648,ok,full,0.0,,,,,0,0,0,0,0,0,
87364,0000882508,2021-12-31,86474,0001104659-22-002789,0001104659-22-002789,ok,full,0.0,,,,,0,0,0,0,0,0,
87364,0000882508,2024-06-21,19416,0001011438-24-000386,0001011438-24-000386,ok,full,0.0,,,,,0,0,0,0,0,0,
92871,0000883237,2022-01-26,15540,0001213900-22-005076,0001213900-22-005076,ok,full,0.0,,,,,0,0,0,0,0,0,
92871,0000883237,2023-02-09,15540,0001213900-23-009764,0001213900-23-009764,ok,full,0.0,,,,,0,0,0,0,0,0,
77437,0000883975,2022-09-07,83145,0001193125-22-247613,0001193125-22-247613,ok,full,0.0,,,,,0,0,0,0,0,0,
77437,0000883975,2023-05-02,22281,0001213900-23-045646,0001213900-23-045646,ok,full,0.0,,,,,0,0,0,0,0,0,
77505,0000884144,2023-06-16,21625,0000902664-23-003734,0000902664-23-003734,ok,full,0.0,,,,,0,0,0,0,0,0,
78091,0000885462,2022-03-11,20834,0000078003-22-000045,0000078003-22-000045,ok,full,0.0,,,,,0,0,0,0,0,0,
78091,0000885462,2022-06-21,72611,0001140361-22-024794,0001140361-22-024794,ok,full,0.0,,,,,0,0,0,0,0,0,
78091,0000885462,2024-03-26,18217,0001493152-24-013076,0001493152-24-013076,ok,full,0.0,,,,,0,0,0,0,0,0,
78091,0000885462,2024-04-22,15631,0000899140-24-000506,0000899140-24-000506,ok,full,0.0,,,,,0,0,0,0,0,0,
77902,0000887596,2023-02-01,21890,0001866581-23-000028,0001866581-23-000028,ok,full,0.0,,,,,0,0,0,0,0,0,
77918,0000889331,2022-10-10,17987,0001193805-22-001434,0001193805-22-001434,ok,full,0.0,,,,,0,0,0,0,0,0,
82215,0000890821,2024-09-24,22767,0001213900-24-084092,0001213900-24-084092,ok,full,0.0,,,,,0,0,0,0,0,0,
82215,0000890821,2024-10-07,20331,0001104659-24-108596,0001104659-24-108596,ok,full,0.0,,,,,0,0,0,0,0,0,
78841,0000894627,2022-08-31,14137,0001104659-22-099294,0001104659-22-099294,ok,full,0.0,,,,,0,0,0,0,1,1,2022-08-30
79037,0000896156,2023-08-22,86489,0001193805-23-001215,0001193805-23-001215,ok,full,0.0,,,,,0,0,0,0,0,0,
79108,0000897723,2024-06-06,16182,0001085146-24-002696,0001085146-24-002696,ok,full,0.0,,,,,0,0,0,0,0,0,
79210,0000898174,2024-12-09,23340,0001493152-24-049899,0001493152-24-049899,ok,full,0.0,,,,,0,0,0,0,0,0,
90285,0000899460,2022-01-25,10530,0000921895-22-000341,0000921895-22-000341,ok,full,0.0,,,,,0,0,0,0,0,0,
79299,0000901491,2023-08-08,13548,0001193805-23-001197,0001193805-23-001197,ok,full,0.0,,,,,0,0,0,0,0,0,
79249,0000902791,2023-08-23,19679,0001628280-23-031024,0001628280-23-031024,ok,full,0.0,,,,,0,0,0,0,0,0,
